Year,Area Harvested (1000 Ha),Production Quantity (1000 MT),Import Quantity (1000 MT),Export Quantity (1000MT),Food Availability per capita (kg/cap/yr)
1991,101579,160567,354.82,1357.15,160.27
1992,101022,170775,3419.77,881.73,161.3
1993,101683,173973,456.87,1156.24,162.6
1994,101621,176532,259.94,4325.88,162.51
1995,100897,176854,256.87,4770.66,160.49
1996,101778,183435,2009.77,3960.52,162.32
1997,101802,188763,2485.05,4544.1,161.81
1998,102498,189047,1719.31,2595.25,161.24
1999,103750,197813,2048.17,1993.78,161.41
2000,104081,199321,262.25,4096.11,159.41
2001,101850,202976,220.89,9369.74,162.53
2002,96101,177665,193.6,8160.14,158.73
2003,100279,198327,213.62,8187.06,156.45
2004,99644,196263,212.25,8005.56,159.14
2005,101421,202581,583.21,5692.49,157.6
2006,101173,204638,6675.63,6927.34,157.58
2007,102955,221482,1823.69,6922.58,157.28
2008,103345,226900,37.24,6064.57,154.98
2009,99404,213325,207.36,5181.68,157.81
2010,102262,229832,211.7,8062.36,157.78
2011,102824,245139,13.91,16509.4,154.6
2012,99684,250976,53.39,24759.71,157.62
2013,101501,254786,49.46,21889.38,157.53
2014,100976,256231,179.31,14986.56,155.19
